"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Max","MFTAGt , MFTHGt , MFTHGm","Min",-529,0.523575336700337
"Max","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-433,0.485231193926846
"Max","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",13.6666666666667,0.558333333333333
"Max","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",50.6666666666666,0.510917785917786
"Max","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-836.666666666667,0.489947841510341
"Max","MFTAGt , MFTHGt , OddO2.5","Low",-329,0.458388230127361
"Max","MFTAGt , MFTHGt , OddO2.5","Max",186.666666666667,0.685185185185185
"Max","MFTAGt , MFTHGt , OddO2.5","Med",199,0.481410256410256
"Max","MFTAGt , MFTHGt , OddO2.5","Min",-902.666666666667,0.454494348244348
"Max","MFTAGt , OddO2.5","Low",-347.333333333333,0.445169082125604
"Max","MFTAGt , OddO2.5","Max",215.333333333333,0.694444444444444
"Max","MFTAGt , OddO2.5","Med",161.666666666667,0.477884615384615
"Max","MFTAGt , OddO2.5","Min",-928.333333333333,0.43615860990861
"Max","MFTHGm","Low",-54,0.620598290598291
"Max","MFTHGm","Max",38.3333333333333,0.625
"Max","MFTHGm","Med",314,0.757722832722833
"Max","MFTHGm","Min",3.66666666666665,0.617697262479871
"Max","MFTHGm , OddO2.5","Low",-265.333333333333,0.507043650793651
"Max","MFTHGm , OddO2.5","Max",109.666666666667,0.666666666666667
"Max","MFTHGm , OddO2.5","Med",329,0.558297258297258
"Max","MFTHGm , OddO2.5","Min",-896,0.504327953527227
"Max","MFTHGt","Low",-171.666666666667,0.549063094715269
"Max","MFTHGt","Max",103.333333333333,0.795833333333333
"Max","MFTHGt","Med",242.666666666667,0.581623931623932
"Max","MFTHGt","Min",-506.333333333333,0.489760563723697
"Max","MFTHGt , MFTAGm","Low",-534,0.454029424681599
"Max","MFTHGt , MFTAGm","Max",58,0.797222222222222
"Max","MFTHGt , MFTAGm","Med",53,0.524821937321937
"Max","MFTHGt , MFTAGm","Min",-736.666666666667,0.51244639656938
"Max","MFTHGt , MFTAGm , MFTHGm","Low",-113.666666666667,0.52989417989418
"Max","MFTHGt , MFTAGm , MFTHGm","Max",57.3333333333333,0.7625
"Max","MFTHGt , MFTAGm , MFTHGm","Med",299,0.757336182336182
"Max","MFTHGt , MFTAGm , MFTHGm","Min",-242.666666666667,0.573803499894582
"Max","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-193,0.501398337112623
"Max","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",53,0.699074074074074
